"V1","V2","V3","V4","V5","V6","V7"
17874,46469,49145,46036,43339,48266,35341
56197,46232,43527,48685,40709,46094,47233
22531,45493,46498,47190,44814,45983,47667
11399,46475,42440,46479,46746,46020,41138
34976,46329,53335,44251,58349,49824,29594
65549,49611,51699,46817,46637,46036,58862
51707,47245,46410,46546,50485,48845,54680
32514,45181,46370,48380,41042,45423,50497
39676,47569,50751,46419,46556,47661,58552
11782,46201,46545,45138,47110,46271,48509
51772,47173,43674,46152,49641,48746,53450
64720,47096,47126,46778,49550,45931,43480
50684,48558,50687,47388,50698,47930,44132
75470,45640,39901,47993,46163,45172,63871
78892,48228,52057,46728,42806,45938,57115
54418,46100,42279,47701,39845,46322,54812
53371,49145,56420,46426,49048,48968,35222
33793,47202,44455,46330,41493,45002,54783
55890,47007,44055,46392,47456,48803,42602
15174,45746,44925,47516,43876,45736,44313
22019,47376,52895,46575,42213,45238,50630
7687,47166,43418,46040,43419,45348,47923
52220,47858,53570,45414,48012,47210,50980
29570,45609,40162,48947,45295,49793,34219
14661,45239,40769,47019,47793,45510,48764
83691,49143,50722,46844,45900,47856,43889
37440,45559,40611,48238,39818,45166,64872
84043,48133,49434,48887,44224,47028,44131
63737,47289,50045,46543,50380,47466,57994
63824,46751,43248,48417,43771,45043,55837
64079,48660,62825,42741,54440,51409,21497
54738,47558,46610,47073,45684,47122,40654
48212,45849,41214,47590,39437,44540,62467
28504,46967,42205,45774,44999,46134,47194
17413,47229,44263,47036,44569,46308,36881
64400,47162,45935,45625,50189,48156,37169
24066,46935,43887,47109,49207,50136,35936
26499,48058,49033,47932,41505,45092,52350
60643,46158,45352,47543,45776,46461,50693
48805,45145,35966,48250,40894,44602,57378
65616,47213,49937,47996,46697,45615,35690
67750,47931,44801,46658,44654,44405,52045
9926,45113,37588,48668,43911,44747,50998
23198,46577,40849,48910,38699,45988,45879
15622,47032,45784,46486,43118,48087,32373
23109,45559,41099,47159,49677,46141,40839
43605,46151,45406,48623,42329,45762,44166
21924,47100,45256,46298,42648,47041,36654
35329,47993,46456,46781,45673,45931,41526
60561,47775,51395,46233,50620,46328,39080
53536,46442,48445,45905,47859,49119,33170
54610,46667,49393,47322,43832,47061,47112
76556,46838,50310,46777,47490,47249,52124
43773,46840,40311,51748,38067,45383,67354
64679,46041,47744,47464,47847,46655,35819
38245,46155,44605,47554,48060,48692,50978
67598,46979,49588,47269,50898,47845,43238
49277,47073,48818,47819,46456,45496,57633
69859,49318,51597,44777,56969,49083,43286
29825,46375,39083,49099,41749,45076,61359
79166,48321,50642,46558,52416,48243,49483
66238,46354,42997,46566,52570,49441,36375
38656,46847,40351,48517,39781,44636,59849
27651,45766,43661,48923,37966,41947,60519
83500,47473,49011,47158,47331,47301,51372
24451,45937,40157,49197,44848,48076,48325
65522,46733,45735,46750,45550,46226,43695
62608,45437,37944,49066,46021,48749,48953
69199,47699,46678,46662,45577,46912,51573
64337,47249,43309,45107,54848,49985,27365
31553,46964,47148,47883,39896,44802,59185
21122,46188,44565,47911,44101,45522,54278
66446,45163,46042,48156,47554,48797,49405
10183,45367,35026,49496,39498,46275,45712
39295,46542,42812,50151,45055,45540,58284
24002,47541,48232,46661,48593,46116,44049
73236,47990,52194,43686,51639,49127,31862
19357,46375,43431,47139,40021,44886,42730
59409,46062,42438,50360,41161,45441,46539
63483,47190,54111,42806,56451,50953,28665
48636,46984,47845,45105,57324,48892,52663
73165,48077,56745,43105,52838,49717,42190
35552,46848,47082,45390,58748,49266,31908
68944,46097,42086,48103,42420,45785,54765
13126,46859,50881,45326,46412,46424,35012
44183,48365,46194,47973,39601,44822,60480
19442,48150,43708,46960,46460,48505,40957
50876,47213,51059,46789,50426,45586,58155
14598,45734,43106,46487,45759,45404,56073
13392,47968,55617,45345,46204,47220,33749
58194,47791,49608,48237,40074,43814,48964
46014,45555,38157,47249,38748,44837,53816
13358,46468,46532,46703,46873,46450,44287
33153,48533,45795,46327,42330,45706,53650
42751,47629,47905,46846,49756,49740,29761
33081,46321,46758,47015,37971,47193,40072
6183,48171,49915,43579,51889,48644,21679
12550,46275,48198,47952,42491,47381,37128
38926,46312,42011,45130,53154,48086,32063
71247,47193,40259,48807,41607,44651,60179
24323,45767,42946,47236,47435,46829,36355
39934,45158,45002,47700,49600,48133,61730
68047,46433,48639,48345,47436,49321,31184
28610,46292,48593,47815,49801,48815,37159
58266,46694,47583,46287,49451,48257,40535
58859,45183,38827,48814,41771,43816,63122
60666,47245,48749,46649,50671,47125,57133
24644,45100,40606,49757,39500,44969,49671
32449,47256,43643,48005,47537,45934,45077
77388,47018,51434,46128,47861,45736,54839
53500,47128,47028,47936,44673,46540,56036
26114,47901,50680,47240,46183,46715,42572
52731,49006,62594,43548,53002,48439,42418
63185,46739,40132,48407,36958,45658,53788
51497,47658,53101,47706,42372,45795,66791
57617,47986,45595,47023,41465,44501,59596
30464,46917,50669,45532,50950,48404,45819
69712,46118,42594,48101,39842,44108,63883
38846,47113,47288,49144,44627,47541,50190
25953,46910,41815,47904,42444,46248,56180
61521,45368,41357,48907,43006,46674,47421
53819,47815,47833,49308,46890,47663,43444
55867,48725,55656,47875,42521,44233,56657
7175,46368,45494,47238,46946,46881,34378
89546,47045,48179,47577,45139,46226,56215
74797,45939,47105,46749,53377,48352,47092
9992,47504,42976,48427,37694,44603,52133
77196,46932,48615,47683,45376,46485,53330
72066,46464,44210,47929,46949,46250,56604
38335,48636,50217,45336,50462,47914,47825
75417,47040,51962,43181,49890,48027,45426
37119,47252,45359,45990,52234,47975,51710
54354,45302,37101,47999,46038,43882,68743
28161,46529,44709,46819,46606,49466,37368
69998,47767,53348,46079,53802,47907,37475
66741,48121,54070,45145,45605,48203,44689
32898,47614,50254,44535,52474,47269,33234
37887,48094,43508,47097,47908,46808,56787
86091,48065,54580,46086,48247,45972,51522
27649,44978,40522,48648,47666,48432,52575
71630,45927,41084,49596,46595,49140,45946
53308,49265,56074,44746,55775,49083,31649
39166,47574,40958,50247,45320,46828,55362
24834,47456,51213,45213,51880,46040,46879
30721,46481,44184,47487,48723,47156,44436
45652,48414,48873,48554,38192,42921,48942
45309,47407,43978,49003,43255,43857,73639
24963,47718,43132,46839,47112,47257,43757
53074,46266,48058,48067,46896,46866,43263
18117,46915,44229,45180,43869,45357,48891
27075,45654,38968,47818,49552,47947,42087
58362,47331,51877,47613,50827,44880,55917
76814,47645,57679,44766,55272,50086,28154
